Word,Part of Speech,Simple English Definition,Citizenship Definition,Chinese,Pinyin,Spanish,Example Sentence,Question Number,Audio File,Approved
founding,adj.,connected with the beginning,The founding period created U.S. independence and government,建国的,jiàn guó de,fundacional,"In civics class, we learned the word 'founding' for question 64.",64,,No
Founder,n.,a person who helps start a country or organization,Founders helped create the United States,缔造者,dì zào zhě,fundador,"In civics class, we learned the word 'Founder' for question 64.",64,,No
Founding Father,n.,a male leader who helped found the U.S.,"Examples include Washington, Jefferson, and Madison",开国元勋,kāi guó yuán xūn,Padre Fundador,"In civics class, we learned the word 'Founding Father' for question 64.",64,,No
George Washington,n.,first U.S. President and military leader,A Founding Father and leader of the Continental Army,乔治·华盛顿,qiáo zhì huá shèng dùn,George Washington,"In civics class, we learned the word 'George Washington' for question 64.",64,,No
Thomas Jefferson,n.,third U.S. President and writer,Main writer of the Declaration of Independence,托马斯·杰斐逊,tuō mǎ sī jié fěi xùn,Thomas Jefferson,"In civics class, we learned the word 'Thomas Jefferson' for question 64.",64,,No
James Madison,n.,fourth U.S. President,Known as the Father of the Constitution,詹姆斯·麦迪逊,zhān mǔ sī mài dí xùn,James Madison,"In civics class, we learned the word 'James Madison' for question 64.",64,,No
Alexander Hamilton,n.,Founding Father and first Treasury Secretary,Helped write the Federalist Papers and build the financial system,亚历山大·汉密尔顿,yà lì shān dà hàn mì ěr dùn,Alexander Hamilton,"In civics class, we learned the word 'Alexander Hamilton' for question 64.",64,,No
Benjamin Franklin,n.,Founding Father and diplomat,Helped with independence and diplomacy,本杰明·富兰克林,běn jié míng fù lán kè lín,Benjamin Franklin,"In civics class, we learned the word 'Benjamin Franklin' for question 64.",64,,No
John Adams,n.,Founding Father and second President,Helped push for independence and served as President,约翰·亚当斯,yuē hàn yà dāng sī,John Adams,"In civics class, we learned the word 'John Adams' for question 64.",64,,No
Continental Congress,n.,colonial meeting body during the Revolution,Representatives who governed during the independence period,大陆会议,dà lù huì yì,Congreso Continental,"In civics class, we learned the word 'Continental Congress' for question 65.",65,,No
Federalist Papers,n.,essays supporting the Constitution,Writings explaining and defending the Constitution,联邦党人文集,lián bāng dǎng rén wén jí,Artículos Federalistas,"In civics class, we learned the word 'Federalist Papers' for question 67.",67,,No
essay,n.,a short written explanation or argument,The Federalist Papers were essays about the Constitution,文章,wén zhāng,ensayo,"In civics class, we learned the word 'essay' for question 67.",67,,No
ratify,v.,to formally approve,States ratified the Constitution before it took effect,批准,pī zhǔn,ratificar,"In civics class, we learned the word 'ratify' for question 67.",67,,No
Federalist,n./adj.,supporter of strong national government,People who supported ratifying the Constitution,联邦党人,lián bāng dǎng rén,federalista,"In civics class, we learned the word 'Federalist' for question 67.",67,,No
anti-Federalist,n.,person who opposed or worried about the Constitution,They wanted stronger protections for individual rights,反联邦党人,fǎn lián bāng dǎng rén,antifederalista,"In civics class, we learned the word 'anti-Federalist' for question 67.",67,,No
American Revolution,n.,war for independence from Britain,The conflict that created the United States,美国革命,měi guó gé mìng,Revolución Americana,"In civics class, we learned the word 'American Revolution' for question 68.",68,,No
Revolutionary War,n.,war between colonies and Great Britain,The war that won U.S. independence,独立战争,dú lì zhàn zhēng,Guerra Revolucionaria,"In civics class, we learned the word 'Revolutionary War' for question 68.",68,,No
patriot,n.,a person who loves and supports their country,Colonists who supported independence were Patriots,爱国者,ài guó zhě,patriota,"In civics class, we learned the word 'patriot' for question 68.",68,,No
loyalist,n.,colonist loyal to Britain,Colonists who opposed independence and stayed loyal to Britain,效忠派,xiào zhōng pài,lealista,"In civics class, we learned the word 'loyalist' for question 68.",68,,No
independent,adj.,free from another country’s control,The United States became independent from Great Britain,独立的,dú lì de,independiente,"In civics class, we learned the word 'independent' for question 68.",68,,No
war,n.,armed conflict between groups or countries,"The Revolutionary War, Civil War, and world wars appear in civics",战争,zhàn zhēng,guerra,"In civics class, we learned the word 'war' for question 68.",68,,No
Civil War,n.,"U.S. war between North and South, 1861–1865","A war over slavery, states’ rights, and union",内战,nèi zhàn,Guerra Civil,"In civics class, we learned the word 'Civil War' for question 72.",72,,No
Union,n.,the United States as one country,The North fought to preserve the Union in the Civil War,联邦,lián bāng,Unión,"In civics class, we learned the word 'Union' for question 72.",72,,No
Confederacy,n.,southern states that left the U.S.,The seceding states in the Civil War,邦联,bāng lián,Confederación,"In civics class, we learned the word 'Confederacy' for question 72.",72,,No
secede,v.,to leave a country or union,Southern states tried to secede before the Civil War,脱离,tuō lí,separarse,"In civics class, we learned the word 'secede' for question 72.",72,,No
states' rights,n.,powers claimed by states,One issue connected to the Civil War,州权,zhōu quán,derechos de los estados,"In civics class, we learned the word 'states' rights' for question 73.",73,,No
abolish,v.,to officially end,The Thirteenth Amendment abolished slavery,废除,fèi chú,abolir,"In civics class, we learned the word 'abolish' for question 74.",74,,No
emancipation,n.,the act of setting people free,Lincoln’s proclamation moved toward freeing enslaved people,解放,jiě fàng,emancipación,"In civics class, we learned the word 'emancipation' for question 74.",74,,No
Emancipation Proclamation,n.,Lincoln order freeing enslaved people in rebel areas,A Civil War action against slavery,解放黑奴宣言,jiě fàng hēi nú xuān yán,Proclamación de Emancipación,"In civics class, we learned the word 'Emancipation Proclamation' for question 74.",74,,No
Abraham Lincoln,n.,16th U.S. President,Led the United States during the Civil War,亚伯拉罕·林肯,yà bó lā hǎn lín kěn,Abraham Lincoln,"In civics class, we learned the word 'Abraham Lincoln' for question 74.",74,,No
preserve,v.,to keep safe or keep together,Lincoln worked to preserve the Union,维护,wéi hù,preservar,"In civics class, we learned the word 'preserve' for question 74.",74,,No
Reconstruction,n.,period after the Civil War,Time when the U.S. rebuilt and amended the Constitution,重建时期,chóng jiàn shí qī,Reconstrucción,"In civics class, we learned the word 'Reconstruction' for question 75.",75,,No
voting rights,n.,legal rights to vote,Protected by amendments and civil rights laws,投票权,tóu piào quán,derechos de voto,"In civics class, we learned the word 'voting rights' for question 75.",75,,No
women's rights,n.,rights for women equal to men,The movement helped win women’s suffrage,妇女权利,fù nǚ quán lì,derechos de las mujeres,"In civics class, we learned the word 'women's rights' for question 77.",77,,No
suffrage,n.,the right to vote,Women’s suffrage led to the Nineteenth Amendment,选举权,xuǎn jǔ quán,sufragio,"In civics class, we learned the word 'suffrage' for question 77.",77,,No
Susan B. Anthony,n.,leader for women’s voting rights,A key figure in the women’s rights movement,苏珊·安东尼,sū shān ān dōng ní,Susan B. Anthony,"In civics class, we learned the word 'Susan B. Anthony' for question 77.",77,,No
World War I,n.,major global war from 1914 to 1918,A war the United States fought in during the 1900s,第一次世界大战,dì yī cì shì jiè dà zhàn,Primera Guerra Mundial,"In civics class, we learned the word 'World War I' for question 78.",78,,No
World War II,n.,major global war from 1939 to 1945,A war involving the U.S. against Axis powers,第二次世界大战,dì èr cì shì jiè dà zhàn,Segunda Guerra Mundial,"In civics class, we learned the word 'World War II' for question 78.",78,,No
Korean War,n.,"war on the Korean peninsula, 1950–1953",A 1900s war involving the United States,朝鲜战争,cháo xiǎn zhàn zhēng,Guerra de Corea,"In civics class, we learned the word 'Korean War' for question 78.",78,,No
Vietnam War,n.,war in Vietnam involving the U.S.,A 1900s war named in the civics questions,越南战争,yuè nán zhàn zhēng,Guerra de Vietnam,"In civics class, we learned the word 'Vietnam War' for question 78.",78,,No
Gulf War,n.,1990–1991 war after Iraq invaded Kuwait,A recent war involving the United States,海湾战争,hǎi wān zhàn zhēng,Guerra del Golfo,"In civics class, we learned the word 'Gulf War' for question 78.",78,,No
World War,n.,a war involving many countries,World War I and II are major U.S. history topics,世界大战,shì jiè dà zhàn,guerra mundial,"In civics class, we learned the word 'World War' for question 78.",78,,No
Great Depression,n.,severe economic crisis in the 1930s,A major event during the 1900s,大萧条,dà xiāo tiáo,Gran Depresión,"In civics class, we learned the word 'Great Depression' for question 79.",79,,No
New Deal,n.,programs from Franklin Roosevelt’s administration,Government programs responding to the Great Depression,新政,xīn zhèng,Nuevo Trato,"In civics class, we learned the word 'New Deal' for question 79.",79,,No
Franklin Roosevelt,n.,U.S. President during Depression and WWII,Led the country during major 20th-century crises,富兰克林·罗斯福,fù lán kè lín luó sī fú,Franklin Roosevelt,"In civics class, we learned the word 'Franklin Roosevelt' for question 79.",79,,No
Holocaust,n.,Nazi murder of six million Jews and others,A genocide during World War II,大屠杀,dà tú shā,Holocausto,"In civics class, we learned the word 'Holocaust' for question 80.",80,,No
Nazi,n./adj.,related to Hitler’s German party,The Nazi government carried out the Holocaust,纳粹,nà cuì,nazi,"In civics class, we learned the word 'Nazi' for question 80.",80,,No
genocide,n.,planned killing of a people group,The Holocaust is an example of genocide,种族灭绝,zhǒng zú miè jué,genocidio,"In civics class, we learned the word 'genocide' for question 80.",80,,No
Cold War,n.,long conflict without direct U.S.-Soviet war,A period of tension between the U.S. and Soviet Union,冷战,lěng zhàn,Guerra Fría,"In civics class, we learned the word 'Cold War' for question 81.",81,,No
communism,n.,system with government control of property and economy,The U.S. opposed communism during the Cold War,共产主义,gòng chǎn zhǔ yì,comunismo,"In civics class, we learned the word 'communism' for question 81.",81,,No
Soviet Union,n.,former communist country led by Russia,The main U.S. rival during the Cold War,苏联,sū lián,Unión Soviética,"In civics class, we learned the word 'Soviet Union' for question 81.",81,,No
Civil Rights Movement,n.,movement for equal rights for Black Americans,A movement that worked to end segregation and discrimination,民权运动,mín quán yùn dòng,Movimiento por los Derechos Civiles,"In civics class, we learned the word 'Civil Rights Movement' for question 82.",82,,No
civil rights,n.,rights to equal treatment under law,Rights protected by laws and constitutional amendments,民权,mín quán,derechos civiles,"In civics class, we learned the word 'civil rights' for question 82.",82,,No
segregation,n.,forced separation by race,A system challenged by the Civil Rights Movement,种族隔离,zhǒng zú gé lí,segregación,"In civics class, we learned the word 'segregation' for question 82.",82,,No
discrimination,n.,unfair treatment because of identity,Civil rights laws fight discrimination,歧视,qí shì,discriminación,"In civics class, we learned the word 'discrimination' for question 82.",82,,No
Martin Luther King Jr.,n.,civil rights leader,Led nonviolent work for equality and civil rights,马丁·路德·金,mǎ dīng lù dé jīn,Martin Luther King Jr.,"In civics class, we learned the word 'Martin Luther King Jr.' for question 82.",82,,No
nonviolent,adj.,not using violence,A method used by many civil rights activists,非暴力的,fēi bào lì de,no violento,"In civics class, we learned the word 'nonviolent' for question 82.",82,,No
activist,n.,a person working for social or political change,Civil rights activists worked for equal rights,活动家,huó dòng jiā,activista,"In civics class, we learned the word 'activist' for question 82.",82,,No
September 11,n.,terrorist attacks in 2001,A major event when terrorists attacked the United States,九一一事件,jiǔ yī yī shì jiàn,11 de septiembre,"In civics class, we learned the word 'September 11' for question 83.",83,,No
terrorist,n.,person using violence to create fear for political goals,"Terrorists attacked the United States on September 11, 2001",恐怖分子,kǒng bù fèn zǐ,terrorista,"In civics class, we learned the word 'terrorist' for question 83.",83,,No
attack,n./v.,violent action against someone or a place,The September 11 attacks were against the United States,袭击,xí jī,ataque/atacar,"In civics class, we learned the word 'attack' for question 83.",83,,No
national anthem,n.,official song of a country,“The Star-Spangled Banner” is the U.S. national anthem,国歌,guó gē,himno nacional,"In civics class, we learned the word 'national anthem' for question 86.",86,,No
Star-Spangled Banner,n.,the U.S. national anthem,The song written during the War of 1812,星条旗之歌,xīng tiáo qí zhī gē,La bandera estrellada,"In civics class, we learned the word 'Star-Spangled Banner' for question 86.",86,,No
flag,n.,cloth symbol of a country,The U.S. flag has 13 stripes and 50 stars,国旗,guó qí,bandera,"In civics class, we learned the word 'flag' for question 87.",87,,No
stripe,n.,a long narrow band of color,The flag has 13 stripes for the original colonies,条纹,tiáo wén,franja,"In civics class, we learned the word 'stripe' for question 87.",87,,No
star,n.,a pointed symbol; a sun in space,The flag has 50 stars for 50 states,星星,xīng xing,estrella,"In civics class, we learned the word 'star' for question 88.",88,,No
symbol,n.,something that represents an idea,"The flag, eagle, and anthem are U.S. symbols",象征,xiàng zhēng,símbolo,"In civics class, we learned the word 'symbol' for question 86.",86,,No
original,adj.,first or earliest,The 13 stripes represent the original colonies,最初的,zuì chū de,original,"In civics class, we learned the word 'original' for question 87.",87,,No
colony count,n.,number of first British colonies,Thirteen original colonies became the United States,殖民地数量,zhí mín dì shù liàng,número de colonias,"In civics class, we learned the word 'colony count' for question 87.",87,,No
state count,n.,number of states,Fifty stars represent the 50 states,州数,zhōu shù,número de estados,"In civics class, we learned the word 'state count' for question 88.",88,,No
Independence Day,n.,U.S. holiday on July 4,Holiday celebrating the Declaration of Independence,独立日,dú lì rì,Día de la Independencia,"In civics class, we learned the word 'Independence Day' for question 95.",95,,No
national holiday,n.,holiday recognized across the country,Independence Day is a U.S. national holiday,全国性节日,quán guó xìng jié rì,feriado nacional,"In civics class, we learned the word 'national holiday' for question 95.",95,,No
federal holiday,n.,holiday for the national government,"Examples include Thanksgiving, Memorial Day, and Independence Day",联邦假日,lián bāng jià rì,feriado federal,"In civics class, we learned the word 'federal holiday' for question 95.",95,,No
Thanksgiving,n.,U.S. holiday of thanks,A national holiday in November,感恩节,gǎn ēn jié,Día de Acción de Gracias,"In civics class, we learned the word 'Thanksgiving' for question 95.",95,,No
Memorial Day,n.,holiday honoring people who died in military service,A federal holiday in May,阵亡将士纪念日,zhèn wáng jiàng shì jì niàn rì,Día de los Caídos,"In civics class, we learned the word 'Memorial Day' for question 95.",95,,No
Labor Day,n.,holiday honoring workers,A federal holiday in September,劳动节,láo dòng jié,Día del Trabajo,"In civics class, we learned the word 'Labor Day' for question 95.",95,,No
Veterans Day,n.,holiday honoring military veterans,A federal holiday in November,退伍军人节,tuì wǔ jūn rén jié,Día de los Veteranos,"In civics class, we learned the word 'Veterans Day' for question 95.",95,,No
veteran,n.,a person who served in the military,Veterans are honored on Veterans Day,退伍军人,tuì wǔ jūn rén,veterano,"In civics class, we learned the word 'veteran' for question 95.",95,,No
